Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2024.106407	 -0.001054	0	1.226646e-04
1	7.674820	7.198020	2030.850352	  0.000698	0	8.873333e-01
2	15.347390	7.095009	2022.773855	  0.000537	0	8.873333e-01
3	22.983341	6.991999	2011.390869	  0.000184	0	8.873333e-01
4	30.570675	6.888989	1997.020285	  0.000101	0	8.873333e-01
5	38.098798	6.785978	1980.067255	  0.000091	0	8.873333e-01
6	45.560496	6.682968	1961.917223	  0.000088	0	8.873333e-01
7	52.953271	6.579958	1943.638984	  0.000091	0	8.873333e-01
8	60.278053	6.476948	1925.998463	  0.000097	0	8.873333e-01
9	67.538715	6.373937	1909.757428	  0.000106	0	8.873333e-01
10	74.740414	6.270927	1894.827403	  0.000119	0	8.873333e-01
11	81.887455	6.167917	1880.856819	  0.000137	0	8.873333e-01
12	88.983080	6.064906	1867.622212	  0.000160	0	8.873333e-01
13	96.029698	5.961896	1854.942083	  0.000180	0	8.873333e-01
14	103.028396	5.858886	1842.289566	  0.000188	0	8.873333e-01
15	109.978699	5.755875	1829.347547	  0.000180	0	8.873333e-01
16	116.878974	5.652865	1815.834293	  0.000157	0	8.873333e-01
17	123.726277	5.549855	1801.356758	  0.000127	0	8.873333e-01
18	130.516610	5.446845	1785.726280	  0.000128	0	8.873333e-01
19	137.245335	5.343834	1768.825564	  0.000137	0	8.873333e-01
20	143.907304	5.240824	1750.481267	  0.000116	0	8.873333e-01
21	150.496375	5.137814	1730.338821	  0.000111	0	8.873333e-01
22	157.005103	5.034803	1708.099246	  0.000138	0	8.873333e-01
23	163.426309	4.931793	1684.177202	  0.000174	0	8.873333e-01
24	169.752038	4.828783	1657.763338	  0.000203	0	8.873333e-01
25	175.973623	4.725772	1629.304611	  0.000213	0	8.873333e-01
26	182.084631	4.622762	1599.555379	  0.000187	0	8.873333e-01
27	188.081692	4.519752	1569.360755	  0.000105	0	8.873333e-01
28	193.964548	4.416742	1539.558797	 -0.000084	0	8.873333e-01
29	199.736121	4.313731	1510.924264	 -0.000316	0	8.873333e-01
30	205.401758	4.210721	1483.984113	 -0.000253	0	8.873333e-01
31	210.968174	4.107711	1458.896516	 -0.000102	0	8.873333e-01
32	216.443278	4.004700	1436.103462	  0.000043	0	8.873333e-01
33	221.835269	3.901690	1415.324579	  0.000171	0	8.873333e-01
34	227.149417	3.798680	1395.282533	  0.000232	0	8.873333e-01
35	232.388470	3.695669	1375.951995	  0.000276	0	8.873333e-01
36	237.554794	3.592659	1357.146096	  0.000355	0	8.873333e-01
37	242.650228	3.489649	1338.773615	  0.000357	0	8.873333e-01
38	247.676558	3.386639	1320.902020	 -0.002396	0	8.873333e-01
39	252.636092	3.283628	1303.733092	 -0.002242	0	8.873333e-01
40	257.531927	3.180618	1287.468475	  0.002228	0	8.873333e-01
41	262.368220	3.077608	1272.465359	  0.004073	0	8.873333e-01
42	267.149808	2.974597	1258.735756	  0.003697	0	8.873333e-01
43	271.878532	2.871587	1244.688001	  0.003087	0	8.873333e-01
44	276.553026	2.768577	1230.239509	  0.002672	0	8.873333e-01
45	281.172414	2.665566	1215.731328	  0.001896	0	8.873333e-01
46	285.736514	2.562556	1201.191847	 -0.000406	0	8.873333e-01
47	290.245002	2.459546	1186.507692	  0.000044	0	8.873333e-01
48	294.697210	2.356536	1171.606473	 -0.015185	0	8.873333e-01
49	299.092760	2.253525	1156.723215	  0.006841	0	8.873333e-01
50	303.432708	2.150515	1142.364989	  0.015630	0	8.873333e-01
51	307.720652	2.047505	1129.358071	  0.003267	0	8.873333e-01
