Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	2.1959e-03	0.0000e+00	1.8744e-11	0.0000e+00
2	7.095009	0	2.1958e-03	0.0000e+00	1.5293e-11	0.0000e+00
3	6.991999	0	2.1956e-03	0.0000e+00	1.2471e-11	0.0000e+00
4	6.888989	0	2.1955e-03	0.0000e+00	1.0283e-11	0.0000e+00
5	6.785978	0	2.1955e-03	0.0000e+00	8.5338e-12	0.0000e+00
6	6.682968	0	2.1955e-03	0.0000e+00	7.1071e-12	0.0000e+00
7	6.579958	0	2.1955e-03	0.0000e+00	5.9409e-12	0.0000e+00
8	6.476948	0	2.1954e-03	0.0000e+00	4.9614e-12	0.0000e+00
9	6.373937	0	2.1953e-03	0.0000e+00	4.1372e-12	0.0000e+00
10	6.270927	0	2.1952e-03	0.0000e+00	3.4433e-12	0.0000e+00
11	6.167917	0	2.1951e-03	0.0000e+00	2.8591e-12	0.0000e+00
12	6.064906	0	2.1949e-03	0.0000e+00	2.3730e-12	0.0000e+00
13	5.961896	0	2.1947e-03	0.0000e+00	1.9631e-12	0.0000e+00
14	5.858886	0	2.1945e-03	0.0000e+00	1.6231e-12	0.0000e+00
15	5.755875	0	2.1943e-03	0.0000e+00	1.3447e-12	0.0000e+00
16	5.652865	0	2.1941e-03	0.0000e+00	1.1167e-12	0.0000e+00
17	5.549855	0	2.1939e-03	0.0000e+00	9.2920e-13	0.0000e+00
18	5.446845	0	2.1936e-03	0.0000e+00	7.7729e-13	0.0000e+00
19	5.343834	0	2.1934e-03	0.0000e+00	6.5231e-13	0.0000e+00
20	5.240824	0	2.1931e-03	0.0000e+00	5.5104e-13	0.0000e+00
21	5.137814	0	2.1928e-03	0.0000e+00	4.6908e-13	0.0000e+00
22	5.034803	0	2.1925e-03	0.0000e+00	4.0165e-13	0.0000e+00
23	4.931793	0	2.1921e-03	0.0000e+00	3.4697e-13	0.0000e+00
24	4.828783	0	2.1917e-03	0.0000e+00	3.0244e-13	0.0000e+00
25	4.725772	0	2.1912e-03	0.0000e+00	2.6555e-13	0.0000e+00
26	4.622762	0	2.1907e-03	0.0000e+00	2.3402e-13	0.0000e+00
27	4.519752	0	2.1902e-03	0.0000e+00	2.0673e-13	0.0000e+00
28	4.416742	0	2.1899e-03	0.0000e+00	1.8147e-13	0.0000e+00
29	4.313731	0	2.1897e-03	0.0000e+00	1.5860e-13	0.0000e+00
30	4.210721	0	2.1897e-03	0.0000e+00	1.3737e-13	0.0000e+00
31	4.107711	0	2.1898e-03	0.0000e+00	1.1794e-13	0.0000e+00
32	4.004700	0	2.1900e-03	0.0000e+00	1.0065e-13	0.0000e+00
33	3.901690	0	2.1903e-03	0.0000e+00	8.5288e-14	0.0000e+00
34	3.798680	0	2.1905e-03	0.0000e+00	7.2111e-14	0.0000e+00
35	3.695669	0	2.1909e-03	0.0000e+00	6.0620e-14	0.0000e+00
36	3.592659	0	2.1913e-03	0.0000e+00	5.0886e-14	0.0000e+00
37	3.489649	0	2.1918e-03	0.0000e+00	4.2633e-14	0.0000e+00
38	3.386639	0	2.1922e-03	0.0000e+00	3.5627e-14	0.0000e+00
39	3.283628	0	2.1928e-03	0.0000e+00	2.9692e-14	0.0000e+00
40	3.180618	0	2.1933e-03	0.0000e+00	2.4737e-14	0.0000e+00
41	3.077608	0	2.1938e-03	0.0000e+00	2.0607e-14	0.0000e+00
42	2.974597	0	2.1942e-03	0.0000e+00	1.7141e-14	0.0000e+00
43	2.871587	0	2.1946e-03	0.0000e+00	1.4254e-14	0.0000e+00
44	2.768577	0	2.1951e-03	0.0000e+00	1.1833e-14	0.0000e+00
45	2.665566	0	2.1956e-03	0.0000e+00	9.8109e-15	0.0000e+00
46	2.562556	0	2.1963e-03	0.0000e+00	8.1133e-15	0.0000e+00
47	2.459546	0	2.1970e-03	0.0000e+00	6.7031e-15	0.0000e+00
48	2.356536	0	2.1978e-03	0.0000e+00	5.5286e-15	0.0000e+00
49	2.253525	0	2.1986e-03	0.0000e+00	4.5483e-15	0.0000e+00
50	2.150515	0	2.1995e-03	0.0000e+00	3.7383e-15	0.0000e+00
51	2.047505	0	2.2003e-03	0.0000e+00	3.0717e-15	0.0000e+00
52	1.944494	0	2.2010e-03	0.0000e+00	2.5245e-15	0.0000e+00
53	1.841484	0	2.2018e-03	0.0000e+00	2.0711e-15	0.0000e+00
54	1.738474	0	2.2027e-03	0.0000e+00	1.6961e-15	0.0000e+00
55	1.635463	0	2.2037e-03	0.0000e+00	1.3820e-15	0.0000e+00
56	1.532453	0	2.2047e-03	0.0000e+00	1.1243e-15	0.0000e+00
57	1.429443	0	2.2058e-03	0.0000e+00	9.1428e-16	0.0000e+00
58	1.326433	0	2.2068e-03	0.0000e+00	7.4312e-16	0.0000e+00
59	1.223422	0	2.2076e-03	0.0000e+00	6.0546e-16	0.0000e+00
60	1.120412	0	2.2084e-03	0.0000e+00	4.9366e-16	0.0000e+00
61	1.017402	0	2.2090e-03	0.0000e+00	4.0341e-16	0.0000e+00
62	0.914391	0	2.2096e-03	0.0000e+00	3.3013e-16	0.0000e+00
63	0.811381	0	2.2102e-03	0.0000e+00	2.6926e-16	0.0000e+00
