Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  4.093374	7.198020	59.320979	0.140161	0	0	0	0.000000e+00	2105.951308
2	  8.140061	7.095009	59.263350	0.140297	0	0	0	0.000000e+00	2081.990862
3	 12.107176	6.991999	59.160324	0.140541	0	0	0	0.000000e+00	2041.121656
4	 15.979398	6.888989	59.035556	0.140838	0	0	0	0.000000e+00	1992.415804
5	 19.748748	6.785978	58.897296	0.141169	0	0	0	0.000000e+00	1939.653994
6	 23.414713	6.682968	58.755670	0.141509	0	0	0	0.000000e+00	1886.673314
7	 26.982521	6.579958	58.620289	0.141836	0	0	0	0.000000e+00	1836.424964
8	 30.460805	6.476948	58.494825	0.142140	0	0	0	0.000000e+00	1790.636687
9	 33.859932	6.373937	58.380464	0.142419	0	0	0	0.000000e+00	1750.165979
10	 37.190789	6.270927	58.276814	0.142672	0	0	0	0.000000e+00	1715.254843
11	 40.463639	6.167917	58.184287	0.142899	0	0	0	0.000000e+00	1685.586589
12	 43.687047	6.064906	58.100497	0.143105	0	0	0	0.000000e+00	1660.282855
13	 46.867358	5.961896	58.022923	0.143296	0	0	0	0.000000e+00	1638.212762
14	 50.008505	5.858886	57.948721	0.143480	0	0	0	0.000000e+00	1618.143149
15	 53.112042	5.755875	57.874715	0.143663	0	0	0	0.000000e+00	1598.866121
16	 56.177773	5.652865	57.798930	0.143852	0	0	0	0.000000e+00	1579.491584
17	 59.204050	5.549855	57.720064	0.144048	0	0	0	0.000000e+00	1559.288514
18	 62.187707	5.446845	57.634393	0.144262	0	0	0	0.000000e+00	1537.481650
19	 65.124093	5.343834	57.539107	0.144501	0	0	0	0.000000e+00	1513.309792
20	 68.007461	5.240824	57.431316	0.144772	0	0	0	0.000000e+00	1486.225464
21	 70.832324	5.137814	57.307467	0.145085	0	0	0	0.000000e+00	1456.337808
22	 73.595753	5.034803	57.170127	0.145434	0	0	0	0.000000e+00	1424.951680
