Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2670.164185	  0.000007	0	1.226646e-04
1	5.332068	7.198020	2694.767973	  0.000013	0	1.237703e+00
2	10.694096	7.095009	2693.321978	  0.000012	0	7.501231e-01
3	16.061468	6.991999	2692.798949	  0.000011	0	7.501231e-01
4	21.434519	6.888989	2692.177482	  0.000009	0	7.501231e-01
5	26.812728	6.785978	2690.642992	  0.000008	0	7.501231e-01
6	32.195200	6.682968	2688.723076	  0.000008	0	7.501231e-01
7	37.581005	6.579958	2685.846915	  0.000009	0	1.237703e+00
8	42.969580	6.476948	2682.922845	  0.000012	0	1.237703e+00
9	48.360112	6.373937	2678.827743	  0.000016	0	7.501231e-01
10	53.751002	6.270927	2673.951598	  0.000024	0	7.501231e-01
11	59.140934	6.167917	2668.218310	  0.000055	0	7.501231e-01
12	64.528869	6.064906	2661.990194	  0.000143	0	1.237703e+00
13	69.913923	5.961896	2655.164146	  0.000253	0	1.237703e+00
14	75.294716	5.858886	2647.709470	 -0.000447	0	1.237703e+00
15	80.669042	5.755875	2639.524014	 -0.003912	0	1.237703e+00
16	86.033665	5.652865	2630.522400	 -0.001900	0	1.237703e+00
17	91.384990	5.549855	2620.944160	  0.000368	0	1.237703e+00
18	96.720060	5.446845	2611.073852	  0.000496	0	1.237703e+00
19	102.035679	5.343834	2600.046478	  0.000340	0	4.546201e-01
20	107.325275	5.240824	2585.192449	  0.000248	0	1.237703e+00
21	112.576244	5.137814	2563.253551	  0.000188	0	1.237703e+00
22	117.750836	5.034803	2513.134001	  0.000146	0	1.237703e+00
23	122.778995	4.931793	2425.257213	  0.000117	0	1.237703e+00
24	127.621623	4.828783	2340.584630	  0.000098	0	1.237703e+00
25	132.281976	4.725772	2259.339911	  0.000084	0	1.237703e+00
26	136.765343	4.622762	2181.283387	  0.000074	0	1.237703e+00
27	141.196356	4.519752	2223.010024	  0.000066	0	1.237703e+00
28	154.004691	4.416742	2141.824889	  0.000059	0	1.237703e+00
29	158.215847	4.313731	2069.750937	  0.000052	0	1.237703e+00
30	162.430809	4.210721	2155.881318	  0.000047	0	1.237703e+00
31	166.676453	4.107711	2109.025920	  0.000043	0	1.237703e+00
32	170.834405	4.004700	2074.571537	  0.000040	0	1.237703e+00
33	174.919159	3.901690	2040.822587	  0.000038	0	1.237703e+00
34	178.934249	3.798680	2008.809791	  0.000036	0	1.237703e+00
35	182.884375	3.695669	1978.916016	  0.000034	0	1.237703e+00
36	186.774623	3.592659	1951.293375	  0.000032	0	1.237703e+00
37	190.609740	3.489649	1925.596982	  0.000030	0	1.237703e+00
38	194.393683	3.386639	1901.508733	  0.000029	0	1.237703e+00
39	198.129735	3.283628	1878.764767	  0.000028	0	1.237703e+00
40	201.820810	3.180618	1857.329024	  0.000030	0	1.237703e+00
41	205.470225	3.077608	1837.663122	  0.000032	0	1.237703e+00
42	209.081889	2.974597	1819.933817	  0.000037	0	1.237703e+00
43	212.659063	2.871587	1803.363174	  0.000044	0	1.237703e+00
44	216.204510	2.768577	1788.254047	  0.000054	0	1.237703e+00
45	219.721673	2.665566	1774.995039	  0.000066	0	1.237703e+00
46	223.214507	2.562556	1763.728955	  0.000082	0	1.237703e+00
47	226.687143	2.459546	1754.453311	  0.000102	0	1.237703e+00
48	230.143467	2.356536	1746.936582	  0.000129	0	1.237703e+00
49	233.586631	2.253525	1740.691029	  0.000163	0	1.237703e+00
50	237.018750	2.150515	1735.182519	  0.000208	0	1.237703e+00
51	240.440956	2.047505	1730.008769	  0.000265	0	1.237703e+00
52	243.852436	1.944494	1723.733079	  0.000339	0	1.237703e+00
53	247.249418	1.841484	1714.943601	  0.000435	0	1.237703e+00
54	250.626786	1.738474	1703.818311	  0.000560	0	1.237703e+00
55	253.979461	1.635463	1690.253625	  0.000723	0	1.237703e+00
56	257.302478	1.532453	1674.432478	  0.000936	0	1.237703e+00
57	260.591587	1.429443	1656.806604	  0.001217	0	1.237703e+00
58	263.843718	1.326433	1637.987039	  0.001592	0	1.237703e+00
59	267.057206	1.223422	1618.665687	  0.002105	0	1.237703e+00
60	270.231770	1.120412	1599.459645	  0.002808	0	1.237703e+00
61	273.368204	1.017402	1580.792246	  0.003772	0	1.237703e+00
62	276.468013	0.914391	1562.963023	  0.005109	0	1.237703e+00
63	279.533283	0.811381	1546.263759	  0.007004	0	1.237703e+00
64	282.566586	0.708371	1530.895410	  0.009764	0	1.237703e+00
65	285.570654	0.605360	1516.892193	  0.013938	0	1.237703e+00
66	288.548257	0.502350	1504.239387	  0.020439	0	1.237703e+00
67	291.502060	0.399340	1492.876879	  0.031210	0	1.237703e+00
68	294.434684	0.296330	1482.842081	  0.052236	0	1.237703e+00
69	297.348986	0.193319	1474.332135	  0.103202	0	1.237703e+00
70	300.248220	0.090309	1467.567317	  0.277935	0	1.237703e+00
71	303.136147	-0.012701	1462.811133	  0.329364	0	1.237703e+00
72	306.017075	-0.115712	1460.364930	 -0.994276	0	4.546201e-01
73	308.896012	-0.218722	1460.588501	 -0.551347	0	1.237703e+00
74	311.778741	-0.321732	1463.880207	  0.534671	0	1.237703e+00
75	314.671946	-0.424743	1470.629999	 -0.186200	0	4.546201e-01
76	317.583175	-0.527753	1481.157249	 -0.168511	0	1.237703e+00
77	320.520806	-0.630763	1495.699935	 -0.116790	0	1.237703e+00
78	323.494198	-0.733773	1514.545836	  0.075038	0	1.237703e+00
79	326.514589	-0.836784	1538.557185	  0.103495	0	1.237703e+00
80	329.597871	-0.939794	1570.254321	  0.047315	0	4.546201e-01
81	332.769968	-1.042804	1614.371616	  0.029179	0	1.237703e+00
82	336.076409	-1.145815	1678.050202	  0.019808	0	1.237703e+00
83	339.612360	-1.248825	1774.603963	  0.013472	0	1.237703e+00
84	343.670771	-1.351835	1953.724292	  0.009094	0	1.237703e+00
85	348.731994	-1.454846	1860.634906	  0.006176	0	1.237703e+00
86	356.098266	-1.557856	1763.785994	  0.004293	0	1.237703e+00
87	364.614592	-1.660866	1669.553818	  0.003073	0	1.237703e+00
88	372.935863	-1.763876	1579.538127	  0.002255	0	1.237703e+00
89	380.865300	-1.866887	1493.799851	  0.001664	0	1.237703e+00
90	388.482814	-1.969897	1452.168253	  0.001216	0	1.237703e+00
91	395.945230	-2.072907	1433.058127	  0.000876	0	1.237703e+00
92	403.319626	-2.175918	1422.103600	  0.000616	0	1.237703e+00
93	410.641733	-2.278928	1430.045391	  0.000415	0	1.237703e+00
94	418.054020	-2.381938	1522.700089	  0.000260	0	1.237703e+00
