Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	2.1966e-03	0.0000e+00	2.3973e-11	0.0000e+00
2	7.095009	0	2.1967e-03	0.0000e+00	2.0134e-11	0.0000e+00
3	6.991999	0	2.1968e-03	0.0000e+00	1.6907e-11	0.0000e+00
4	6.888989	0	2.1969e-03	0.0000e+00	1.4196e-11	0.0000e+00
5	6.785978	0	2.1970e-03	0.0000e+00	1.1919e-11	0.0000e+00
6	6.682968	0	2.1971e-03	0.0000e+00	1.0000e-11	0.0000e+00
7	6.579958	0	2.1971e-03	0.0000e+00	8.3902e-12	0.0000e+00
8	6.476948	0	2.1971e-03	0.0000e+00	7.0326e-12	0.0000e+00
9	6.373937	0	2.1971e-03	0.0000e+00	5.9014e-12	0.0000e+00
10	6.270927	0	2.1970e-03	0.0000e+00	4.9447e-12	0.0000e+00
11	6.167917	0	2.1970e-03	0.0000e+00	4.1467e-12	0.0000e+00
12	6.064906	0	2.1970e-03	0.0000e+00	3.4791e-12	0.0000e+00
13	5.961896	0	2.1969e-03	0.0000e+00	2.9193e-12	0.0000e+00
14	5.858886	0	2.1970e-03	0.0000e+00	2.4513e-12	0.0000e+00
15	5.755875	0	2.1971e-03	0.0000e+00	2.0573e-12	0.0000e+00
16	5.652865	0	2.1972e-03	0.0000e+00	1.7248e-12	0.0000e+00
17	5.549855	0	2.1975e-03	0.0000e+00	1.4466e-12	0.0000e+00
18	5.446845	0	2.1979e-03	0.0000e+00	1.2094e-12	0.0000e+00
19	5.343834	0	2.1985e-03	0.0000e+00	1.0085e-12	0.0000e+00
20	5.240824	0	2.1994e-03	0.0000e+00	8.3505e-13	0.0000e+00
21	5.137814	0	2.2005e-03	0.0000e+00	6.8749e-13	0.0000e+00
22	5.034803	0	2.2017e-03	0.0000e+00	5.6228e-13	0.0000e+00
23	4.931793	0	2.2030e-03	0.0000e+00	4.5715e-13	0.0000e+00
24	4.828783	0	2.2043e-03	0.0000e+00	3.7024e-13	0.0000e+00
25	4.725772	0	2.2056e-03	0.0000e+00	2.9887e-13	0.0000e+00
26	4.622762	0	2.2069e-03	0.0000e+00	2.4045e-13	0.0000e+00
27	4.519752	0	2.2080e-03	0.0000e+00	1.9317e-13	0.0000e+00
28	4.416742	0	2.2092e-03	0.0000e+00	1.5494e-13	0.0000e+00
29	4.313731	0	2.2103e-03	0.0000e+00	1.2386e-13	0.0000e+00
30	4.210721	0	2.2114e-03	0.0000e+00	9.8627e-14	0.0000e+00
