Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	3.3232e-03	0.0000e+00	2.4080e-05	0.0000e+00
2	7.095009	0	2.9380e-03	0.0000e+00	1.9934e-05	0.0000e+00
3	6.991999	0	2.6067e-03	0.0000e+00	1.6471e-05	0.0000e+00
4	6.888989	0	2.3364e-03	0.0000e+00	1.3657e-05	0.0000e+00
5	6.785978	0	2.1135e-03	0.0000e+00	1.1364e-05	0.0000e+00
6	6.682968	0	1.9237e-03	0.0000e+00	9.4821e-06	0.0000e+00
7	6.579958	0	1.7642e-03	0.0000e+00	7.9206e-06	0.0000e+00
8	6.476948	0	1.6233e-03	0.0000e+00	6.6125e-06	0.0000e+00
9	6.373937	0	1.5042e-03	0.0000e+00	5.5169e-06	0.0000e+00
10	6.270927	0	1.3980e-03	0.0000e+00	4.6009e-06	0.0000e+00
11	6.167917	0	1.3079e-03	0.0000e+00	3.8376e-06	0.0000e+00
12	6.064906	0	1.2300e-03	0.0000e+00	3.2028e-06	0.0000e+00
13	5.961896	0	1.1621e-03	0.0000e+00	2.6772e-06	0.0000e+00
14	5.858886	0	1.1041e-03	0.0000e+00	2.2454e-06	0.0000e+00
15	5.755875	0	1.0535e-03	0.0000e+00	1.8939e-06	0.0000e+00
16	5.652865	0	1.0064e-03	0.0000e+00	1.6095e-06	0.0000e+00
17	5.549855	0	9.6843e-04	0.0000e+00	1.3793e-06	0.0000e+00
18	5.446845	0	9.2758e-04	0.0000e+00	1.1917e-06	0.0000e+00
19	5.343834	0	8.8734e-04	0.0000e+00	1.0367e-06	0.0000e+00
20	5.240824	0	8.5290e-04	0.0000e+00	9.0615e-07	0.0000e+00
21	5.137814	0	8.1638e-04	0.0000e+00	7.9359e-07	0.0000e+00
22	5.034803	0	7.8071e-04	0.0000e+00	6.9449e-07	0.0000e+00
23	4.931793	0	7.4759e-04	0.0000e+00	6.0668e-07	0.0000e+00
24	4.828783	0	7.1543e-04	0.0000e+00	5.2967e-07	0.0000e+00
25	4.725772	0	6.8291e-04	0.0000e+00	4.6364e-07	0.0000e+00
26	4.622762	0	6.5120e-04	0.0000e+00	4.0822e-07	0.0000e+00
27	4.519752	0	6.2070e-04	0.0000e+00	3.6253e-07	0.0000e+00
28	4.416742	0	5.9158e-04	0.0000e+00	3.2553e-07	0.0000e+00
29	4.313731	0	5.6266e-04	0.0000e+00	2.9577e-07	0.0000e+00
30	4.210721	0	5.3415e-04	0.0000e+00	2.7117e-07	0.0000e+00
31	4.107711	0	5.1063e-04	0.0000e+00	2.4878e-07	0.0000e+00
32	4.004700	0	4.8716e-04	0.0000e+00	2.2595e-07	0.0000e+00
33	3.901690	0	4.6435e-04	0.0000e+00	2.0256e-07	0.0000e+00
34	3.798680	0	4.4327e-04	0.0000e+00	1.8024e-07	0.0000e+00
35	3.695669	0	4.2114e-04	0.0000e+00	1.6031e-07	0.0000e+00
36	3.592659	0	4.0058e-04	0.0000e+00	1.4272e-07	0.0000e+00
37	3.489649	0	3.8281e-04	0.0000e+00	1.2689e-07	0.0000e+00
38	3.386639	0	3.6294e-04	0.0000e+00	1.1261e-07	0.0000e+00
39	3.283628	0	3.4500e-04	0.0000e+00	9.9689e-08	0.0000e+00
40	3.180618	0	3.2670e-04	0.0000e+00	8.7874e-08	0.0000e+00
41	3.077608	0	3.0936e-04	0.0000e+00	7.6831e-08	0.0000e+00
42	2.974597	0	2.9113e-04	0.0000e+00	6.6529e-08	0.0000e+00
43	2.871587	0	2.7291e-04	0.0000e+00	5.7317e-08	0.0000e+00
44	2.768577	0	2.5710e-04	0.0000e+00	4.9496e-08	0.0000e+00
45	2.665566	0	2.4280e-04	0.0000e+00	4.3002e-08	0.0000e+00
46	2.562556	0	2.2790e-04	0.0000e+00	3.7528e-08	0.0000e+00
47	2.459546	0	2.1466e-04	0.0000e+00	3.2810e-08	0.0000e+00
48	2.356536	0	2.0332e-04	0.0000e+00	2.8669e-08	0.0000e+00
49	2.253525	0	1.9090e-04	0.0000e+00	2.4956e-08	0.0000e+00
50	2.150515	0	1.7956e-04	0.0000e+00	2.1568e-08	0.0000e+00
51	2.047505	0	1.6772e-04	0.0000e+00	1.8462e-08	0.0000e+00
52	1.944494	0	1.5776e-04	0.0000e+00	1.5697e-08	0.0000e+00
53	1.841484	0	1.4789e-04	0.0000e+00	1.3323e-08	0.0000e+00
54	1.738474	0	1.4042e-04	0.0000e+00	1.1325e-08	0.0000e+00
55	1.635463	0	1.3161e-04	0.0000e+00	9.6253e-09	0.0000e+00
56	1.532453	0	1.2418e-04	0.0000e+00	8.1617e-09	0.0000e+00
57	1.429443	0	1.1680e-04	0.0000e+00	6.9007e-09	0.0000e+00
58	1.326433	0	1.1013e-04	0.0000e+00	5.8118e-09	0.0000e+00
59	1.223422	0	1.0496e-04	0.0000e+00	4.8666e-09	0.0000e+00
60	1.120412	0	1.0048e-04	0.0000e+00	4.0408e-09	0.0000e+00
61	1.017402	0	9.6517e-05	0.0000e+00	3.3221e-09	0.0000e+00
62	0.914391	0	9.3013e-05	0.0000e+00	2.7066e-09	0.0000e+00
63	0.811381	0	9.1018e-05	0.0000e+00	2.1890e-09	0.0000e+00
64	0.708371	0	8.9488e-05	0.0000e+00	1.7581e-09	0.0000e+00
65	0.605360	0	8.8679e-05	0.0000e+00	1.4014e-09	0.0000e+00
66	0.502350	0	8.7765e-05	0.0000e+00	1.1094e-09	0.0000e+00
67	0.399340	0	8.7324e-05	0.0000e+00	8.7364e-10	0.0000e+00
68	0.296330	0	8.7760e-05	0.0000e+00	6.8536e-10	0.0000e+00
69	0.193319	0	8.7934e-05	0.0000e+00	5.3591e-10	0.0000e+00
70	0.090309	0	8.8391e-05	0.0000e+00	4.1764e-10	0.0000e+00
71	-0.012701	0	8.9311e-05	0.0000e+00	3.2437e-10	0.0000e+00
72	-0.115712	0	9.0687e-05	0.0000e+00	2.5107e-10	0.0000e+00
73	-0.218722	0	9.1046e-05	0.0000e+00	1.9376e-10	0.0000e+00
74	-0.321732	0	9.2802e-05	0.0000e+00	1.4923e-10	0.0000e+00
75	-0.424743	0	9.3852e-05	0.0000e+00	1.1491e-10	0.0000e+00
76	-0.527753	0	9.5377e-05	0.0000e+00	8.8685e-11	0.0000e+00
77	-0.630763	0	9.6533e-05	0.0000e+00	6.8797e-11	0.0000e+00
78	-0.733773	0	9.6807e-05	0.0000e+00	5.3790e-11	0.0000e+00
79	-0.836784	0	9.6670e-05	0.0000e+00	4.2500e-11	0.0000e+00
80	-0.939794	0	9.6054e-05	0.0000e+00	3.4005e-11	0.0000e+00
81	-1.042804	0	9.3962e-05	0.0000e+00	2.7587e-11	0.0000e+00
82	-1.145815	0	9.1594e-05	0.0000e+00	2.2687e-11	0.0000e+00
83	-1.248825	0	8.9254e-05	0.0000e+00	1.8879e-11	0.0000e+00
84	-1.351835	0	8.6019e-05	0.0000e+00	1.5844e-11	0.0000e+00
85	-1.454846	0	8.2663e-05	0.0000e+00	1.3359e-11	0.0000e+00
86	-1.557856	0	7.8906e-05	0.0000e+00	1.1271e-11	0.0000e+00
87	-1.660866	0	7.6168e-05	0.0000e+00	9.4774e-12	0.0000e+00
88	-1.763876	0	7.3285e-05	0.0000e+00	7.9128e-12	0.0000e+00
89	-1.866887	0	7.1182e-05	0.0000e+00	6.5304e-12	0.0000e+00
90	-1.969897	0	6.9936e-05	0.0000e+00	5.3000e-12	0.0000e+00
91	-2.072907	0	7.0382e-05	0.0000e+00	4.2078e-12	0.0000e+00
92	-2.175918	0	7.0869e-05	0.0000e+00	3.2586e-12	0.0000e+00
93	-2.278928	0	7.2826e-05	0.0000e+00	2.4632e-12	0.0000e+00
94	-2.381938	0	7.6009e-05	0.0000e+00	1.8252e-12	0.0000e+00
95	-2.484949	0	7.9115e-05	0.0000e+00	1.3332e-12	0.0000e+00
96	-2.587959	0	8.3118e-05	0.0000e+00	9.6425e-13	0.0000e+00
97	-2.690969	0	8.8536e-05	0.0000e+00	6.9119e-13	0.0000e+00
98	-2.793979	0	9.4030e-05	0.0000e+00	4.8877e-13	0.0000e+00
99	-2.896990	0	1.0263e-04	0.0000e+00	3.3599e-13	0.0000e+00
100	-3.000000	0	1.1108e-04	0.0000e+00	2.3108e-13	0.0000e+00
