Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	  5.056105	7.198020	39.963784	0.208050	0	0	0	0.000000e+00	1862.548081
2	 10.084071	7.095009	39.941616	0.208166	0	0	0	0.000000e+00	1851.991290
3	 15.073599	6.991999	39.911435	0.208323	0	0	0	0.000000e+00	1837.632818
4	 20.018611	6.888989	39.876376	0.208506	0	0	0	0.000000e+00	1821.053606
5	 24.917142	6.785978	39.839259	0.208700	0	0	0	0.000000e+00	1803.758477
6	 29.769204	6.682968	39.801251	0.208900	0	0	0	0.000000e+00	1786.461184
7	 34.576203	6.579958	39.763636	0.209097	0	0	0	0.000000e+00	1769.677291
8	 39.341343	6.476948	39.727751	0.209286	0	0	0	0.000000e+00	1754.058354
9	 44.067942	6.373937	39.693843	0.209465	0	0	0	0.000000e+00	1739.645944
10	 48.758520	6.270927	39.661213	0.209637	0	0	0	0.000000e+00	1726.143303
11	 53.414628	6.167917	39.629413	0.209806	0	0	0	0.000000e+00	1713.206188
12	 58.036526	6.064906	39.597479	0.209975	0	0	0	0.000000e+00	1700.369687
13	 62.622918	5.961896	39.563984	0.210153	0	0	0	0.000000e+00	1687.064259
14	 67.170759	5.858886	39.527058	0.210349	0	0	0	0.000000e+00	1672.650033
15	 71.675309	5.755875	39.485790	0.210569	0	0	0	0.000000e+00	1656.538168
16	 76.130976	5.652865	39.438562	0.210821	0	0	0	0.000000e+00	1638.402620
17	 80.532086	5.549855	39.384993	0.211108	0	0	0	0.000000e+00	1618.220300
18	 84.873191	5.446845	39.324781	0.211431	0	0	0	0.000000e+00	1596.073789
19	 89.148605	5.343834	39.257431	0.211794	0	0	0	0.000000e+00	1571.888595
20	 93.351804	5.240824	39.181265	0.212205	0	0	0	0.000000e+00	1545.358194
21	 97.475623	5.137814	39.094194	0.212678	0	0	0	0.000000e+00	1516.235499
22	101.513456	5.034803	38.996179	0.213212	0	0	0	0.000000e+00	1484.741744
23	105.461530	4.931793	38.888899	0.213801	0	0	0	0.000000e+00	1451.897434
24	109.318015	4.828783	38.773403	0.214438	0	0	0	0.000000e+00	1418.399296
25	113.082112	4.725772	38.650615	0.215119	0	0	0	0.000000e+00	1384.630932
26	116.755002	4.622762	38.522160	0.215836	0	0	0	0.000000e+00	1351.300015
27	120.339074	4.519752	38.389779	0.216580	0	0	0	0.000000e+00	1318.851539
28	123.836817	4.416742	38.239650	0.217431	0	0	0	0.000000e+00	1287.302179
29	127.249414	4.313731	38.115225	0.218140	0	0	0	0.000000e+00	1256.204751
30	130.577160	4.210721	37.978988	0.218923	0	0	0	0.000000e+00	1225.199404
31	133.821872	4.107711	37.840157	0.219726	0	0	0	0.000000e+00	1194.837340
32	136.992143	4.004700	37.703065	0.220525	0	0	0	0.000000e+00	1167.597074
33	140.100265	3.901690	37.582792	0.221231	0	0	0	0.000000e+00	1144.841653
34	143.150954	3.798680	37.466329	0.221919	0	0	0	0.000000e+00	1123.785675
