Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 11.978823	7.198020	36.104471	0.230289	0	0	0	0.000000e+00	1987.309148
2	 23.973407	7.095009	36.061144	0.230566	0	0	0	0.000000e+00	1987.653207
3	 35.947273	6.991999	36.016649	0.230851	0	0	0	0.000000e+00	1982.406971
4	 47.845320	6.888989	35.966128	0.231175	0	0	0	0.000000e+00	1968.550166
5	 59.647423	6.785978	35.916439	0.231495	0	0	0	0.000000e+00	1951.719463
6	 71.339492	6.682968	35.866627	0.231816	0	0	0	0.000000e+00	1932.794234
7	 82.907703	6.579958	35.815283	0.232149	0	0	0	0.000000e+00	1911.761687
8	 94.345460	6.476948	35.763570	0.232484	0	0	0	0.000000e+00	1889.767810
9	105.652597	6.373937	35.712963	0.232814	0	0	0	0.000000e+00	1867.848905
10	116.833231	6.270927	35.664284	0.233132	0	0	0	0.000000e+00	1846.681885
11	127.891161	6.167917	35.617425	0.233438	0	0	0	0.000000e+00	1826.211814
12	138.829861	6.064906	35.571905	0.233737	0	0	0	0.000000e+00	1806.360422
13	149.651794	5.961896	35.527167	0.234031	0	0	0	0.000000e+00	1786.949636
14	160.357167	5.858886	35.482543	0.234326	0	0	0	0.000000e+00	1767.612379
15	170.943826	5.755875	35.436699	0.234629	0	0	0	0.000000e+00	1747.938866
16	181.407298	5.652865	35.388779	0.234947	0	0	0	0.000000e+00	1727.552229
17	191.739712	5.549855	35.336955	0.235291	0	0	0	0.000000e+00	1705.873043
18	201.928877	5.446845	35.279470	0.235675	0	0	0	0.000000e+00	1682.200216
19	211.959942	5.343834	35.214567	0.236109	0	0	0	0.000000e+00	1656.079014
20	221.819350	5.240824	35.142076	0.236596	0	0	0	0.000000e+00	1627.724304
21	231.498717	5.137814	35.063916	0.237123	0	0	0	0.000000e+00	1597.996356
22	240.997521	5.034803	34.982876	0.237673	0	0	0	0.000000e+00	1568.181880
23	250.323633	4.931793	34.902815	0.238218	0	0	0	0.000000e+00	1539.669268
24	259.484916	4.828783	34.823814	0.238758	0	0	0	0.000000e+00	1512.451866
25	268.485329	4.725772	34.744345	0.239304	0	0	0	0.000000e+00	1485.895697
26	277.328436	4.622762	34.663734	0.239861	0	0	0	0.000000e+00	1459.914313
27	286.015152	4.519752	34.581275	0.240433	0	0	0	0.000000e+00	1434.099797
28	294.542926	4.416742	34.494504	0.241038	0	0	0	0.000000e+00	1407.856691
29	302.904671	4.313731	34.400663	0.241695	0	0	0	0.000000e+00	1380.448836
30	311.090465	4.210721	34.297093	0.242425	0	0	0	0.000000e+00	1351.399346
31	319.094902	4.107711	34.185985	0.243213	0	0	0	0.000000e+00	1321.462042
32	326.932773	4.004700	34.061499	0.244102	0	0	0	0.000000e+00	1293.956837
33	334.632532	3.901690	33.984222	0.244657	0	0	0	0.000000e+00	1271.158965
34	342.202768	3.798680	33.907112	0.245213	0	0	0	0.000000e+00	1249.780613
35	349.640057	3.695669	33.823332	0.245821	0	0	0	0.000000e+00	1227.833287
36	356.948146	3.592659	33.737729	0.246444	0	0	0	0.000000e+00	1206.503185
37	364.132210	3.489649	33.651762	0.247074	0	0	0	0.000000e+00	1186.023679
38	371.198521	3.386639	33.567066	0.247697	0	0	0	0.000000e+00	1166.586592
39	378.154987	3.283628	33.485068	0.248304	0	0	0	0.000000e+00	1148.445778
40	385.010225	3.180618	33.407530	0.248880	0	0	0	0.000000e+00	1131.737658
41	391.774694	3.077608	33.335999	0.249414	0	0	0	0.000000e+00	1116.748877
42	398.463093	2.974597	33.275062	0.249871	0	0	0	0.000000e+00	1104.192158
43	405.082001	2.871587	33.218325	0.250298	0	0	0	0.000000e+00	1092.719962
44	411.626225	2.768577	33.156454	0.250765	0	0	0	0.000000e+00	1080.391277
45	418.091844	2.665566	33.089891	0.251269	0	0	0	0.000000e+00	1067.405780
46	424.477383	2.562556	33.021353	0.251791	0	0	0	0.000000e+00	1054.182788
47	430.781901	2.459546	32.951166	0.252327	0	0	0	0.000000e+00	1040.814120
48	437.006329	2.356536	32.880393	0.252870	0	0	0	0.000000e+00	1027.584533
49	443.154059	2.253525	32.812168	0.253396	0	0	0	0.000000e+00	1014.930829
50	449.234714	2.150515	32.751648	0.253864	0	0	0	0.000000e+00	1003.855756
