Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.198020	0	4.6854e-03	0.0000e+00	1.1053e-07	0.0000e+00
2	7.095009	0	4.6877e-03	0.0000e+00	8.9352e-08	0.0000e+00
3	6.991999	0	4.6897e-03	0.0000e+00	7.2333e-08	0.0000e+00
4	6.888989	0	4.6843e-03	0.0000e+00	5.8929e-08	0.0000e+00
5	6.785978	0	4.6733e-03	0.0000e+00	4.8233e-08	0.0000e+00
6	6.682968	0	4.6570e-03	0.0000e+00	3.9650e-08	0.0000e+00
7	6.579958	0	4.6369e-03	0.0000e+00	3.2692e-08	0.0000e+00
8	6.476948	0	4.6156e-03	0.0000e+00	2.6987e-08	0.0000e+00
9	6.373937	0	4.5956e-03	0.0000e+00	2.2260e-08	0.0000e+00
10	6.270927	0	4.5789e-03	0.0000e+00	1.8320e-08	0.0000e+00
11	6.167917	0	4.5662e-03	0.0000e+00	1.5034e-08	0.0000e+00
12	6.064906	0	4.5576e-03	0.0000e+00	1.2303e-08	0.0000e+00
13	5.961896	0	4.5512e-03	0.0000e+00	1.0049e-08	0.0000e+00
14	5.858886	0	4.5454e-03	0.0000e+00	8.2004e-09	0.0000e+00
15	5.755875	0	4.5383e-03	0.0000e+00	6.6949e-09	0.0000e+00
16	5.652865	0	4.5275e-03	0.0000e+00	5.4753e-09	0.0000e+00
17	5.549855	0	4.5124e-03	0.0000e+00	4.4898e-09	0.0000e+00
18	5.446845	0	4.4916e-03	0.0000e+00	3.6944e-09	0.0000e+00
19	5.343834	0	4.4644e-03	0.0000e+00	3.0524e-09	0.0000e+00
20	5.240824	0	4.4303e-03	0.0000e+00	2.5335e-09	0.0000e+00
21	5.137814	0	4.3893e-03	0.0000e+00	2.1129e-09	0.0000e+00
22	5.034803	0	4.3406e-03	0.0000e+00	1.7714e-09	0.0000e+00
23	4.931793	0	4.2833e-03	0.0000e+00	1.4941e-09	0.0000e+00
24	4.828783	0	4.2159e-03	0.0000e+00	1.2694e-09	0.0000e+00
25	4.725772	0	4.1363e-03	0.0000e+00	1.0879e-09	0.0000e+00
26	4.622762	0	4.0445e-03	0.0000e+00	9.4073e-10	0.0000e+00
27	4.519752	0	3.9414e-03	0.0000e+00	8.1984e-10	0.0000e+00
28	4.416742	0	3.8295e-03	0.0000e+00	7.1867e-10	0.0000e+00
29	4.313731	0	3.7128e-03	0.0000e+00	6.3212e-10	0.0000e+00
30	4.210721	0	3.5935e-03	0.0000e+00	5.5686e-10	0.0000e+00
31	4.107711	0	3.4749e-03	0.0000e+00	4.9031e-10	0.0000e+00
32	4.004700	0	3.3609e-03	0.0000e+00	4.3035e-10	0.0000e+00
33	3.901690	0	3.2530e-03	0.0000e+00	3.7612e-10	0.0000e+00
34	3.798680	0	3.1494e-03	0.0000e+00	3.2783e-10	0.0000e+00
35	3.695669	0	3.0465e-03	0.0000e+00	2.8580e-10	0.0000e+00
36	3.592659	0	2.9420e-03	0.0000e+00	2.4953e-10	0.0000e+00
37	3.489649	0	2.8380e-03	0.0000e+00	2.1791e-10	0.0000e+00
38	3.386639	0	2.7370e-03	0.0000e+00	1.9007e-10	0.0000e+00
39	3.283628	0	2.6414e-03	0.0000e+00	1.6522e-10	0.0000e+00
40	3.180618	0	2.5554e-03	0.0000e+00	1.4273e-10	0.0000e+00
41	3.077608	0	2.4819e-03	0.0000e+00	1.2223e-10	0.0000e+00
42	2.974597	0	2.4194e-03	0.0000e+00	1.0387e-10	0.0000e+00
43	2.871587	0	2.3623e-03	0.0000e+00	8.7933e-11	0.0000e+00
44	2.768577	0	2.3054e-03	0.0000e+00	7.4451e-11	0.0000e+00
45	2.665566	0	2.2472e-03	0.0000e+00	6.3130e-11	0.0000e+00
46	2.562556	0	2.1881e-03	0.0000e+00	5.3600e-11	0.0000e+00
47	2.459546	0	2.1279e-03	0.0000e+00	4.5582e-11	0.0000e+00
48	2.356536	0	2.0658e-03	0.0000e+00	3.8843e-11	0.0000e+00
49	2.253525	0	2.0027e-03	0.0000e+00	3.3159e-11	0.0000e+00
50	2.150515	0	1.9403e-03	0.0000e+00	2.8317e-11	0.0000e+00
51	2.047505	0	1.8800e-03	0.0000e+00	2.4153e-11	0.0000e+00
52	1.944494	0	1.8217e-03	0.0000e+00	2.0586e-11	0.0000e+00
53	1.841484	0	1.7630e-03	0.0000e+00	1.7568e-11	0.0000e+00
54	1.738474	0	1.7028e-03	0.0000e+00	1.5031e-11	0.0000e+00
55	1.635463	0	1.6420e-03	0.0000e+00	1.2884e-11	0.0000e+00
56	1.532453	0	1.5821e-03	0.0000e+00	1.1048e-11	0.0000e+00
57	1.429443	0	1.5243e-03	0.0000e+00	9.4678e-12	0.0000e+00
58	1.326433	0	1.4690e-03	0.0000e+00	8.1026e-12	0.0000e+00
59	1.223422	0	1.4172e-03	0.0000e+00	6.9178e-12	0.0000e+00
60	1.120412	0	1.3696e-03	0.0000e+00	5.8869e-12	0.0000e+00
61	1.017402	0	1.3260e-03	0.0000e+00	4.9923e-12	0.0000e+00
62	0.914391	0	1.2857e-03	0.0000e+00	4.2234e-12	0.0000e+00
63	0.811381	0	1.2471e-03	0.0000e+00	3.5677e-12	0.0000e+00
64	0.708371	0	1.2104e-03	0.0000e+00	3.0105e-12	0.0000e+00
65	0.605360	0	1.1757e-03	0.0000e+00	2.5360e-12	0.0000e+00
66	0.502350	0	1.1432e-03	0.0000e+00	2.1321e-12	0.0000e+00
67	0.399340	0	1.1128e-03	0.0000e+00	1.7888e-12	0.0000e+00
68	0.296330	0	1.0842e-03	0.0000e+00	1.4982e-12	0.0000e+00
69	0.193319	0	1.0569e-03	0.0000e+00	1.2530e-12	0.0000e+00
70	0.090309	0	1.0307e-03	0.0000e+00	1.0472e-12	0.0000e+00
71	-0.012701	0	1.0049e-03	0.0000e+00	8.7506e-13	0.0000e+00
72	-0.115712	0	9.7956e-04	0.0000e+00	7.3119e-13	0.0000e+00
73	-0.218722	0	9.5433e-04	0.0000e+00	6.1099e-13	0.0000e+00
74	-0.321732	0	9.3004e-04	0.0000e+00	5.1034e-13	0.0000e+00
75	-0.424743	0	9.0644e-04	0.0000e+00	4.2589e-13	0.0000e+00
76	-0.527753	0	8.8400e-04	0.0000e+00	3.5500e-13	0.0000e+00
77	-0.630763	0	8.6269e-04	0.0000e+00	2.9547e-13	0.0000e+00
78	-0.733773	0	8.4270e-04	0.0000e+00	2.4550e-13	0.0000e+00
79	-0.836784	0	8.2404e-04	0.0000e+00	2.0360e-13	0.0000e+00
