Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	2224.866682	 -0.000003	0	1.226646e-04
1	5.030853	7.198020	2203.635712	  0.000000	0	8.873333e-01
2	9.999933	7.095009	2170.118127	  0.000002	0	8.873333e-01
3	14.889664	6.991999	2133.460568	  0.000001	0	8.873333e-01
4	19.693616	6.888989	2094.466720	 -0.000001	0	8.873333e-01
5	24.407154	6.785978	2053.823816	 -0.000003	0	8.873333e-01
6	29.029056	6.682968	2013.796051	 -0.000004	0	8.873333e-01
7	33.562761	6.579958	1976.170834	 -0.000004	0	8.873333e-01
8	38.016349	6.476948	1943.194125	 -0.000002	0	8.873333e-01
9	42.400838	6.373937	1915.143776	  0.000003	0	8.873333e-01
10	46.727021	6.270927	1891.578364	  0.000010	0	8.873333e-01
11	51.004037	6.167917	1871.455506	  0.000016	0	8.873333e-01
12	55.238608	6.064906	1853.756192	  0.000020	0	8.873333e-01
13	59.435000	5.961896	1837.368878	  0.000020	0	8.873333e-01
14	63.594823	5.858886	1821.067098	  0.000017	0	8.873333e-01
15	67.717369	5.755875	1804.114242	  0.000013	0	8.873333e-01
16	71.800557	5.652865	1786.023334	  0.000009	0	8.873333e-01
17	75.841392	5.549855	1766.507971	  0.000006	0	8.873333e-01
18	79.836399	5.446845	1745.439951	  0.000004	0	8.873333e-01
19	83.781750	5.343834	1722.627160	  0.000003	0	8.873333e-01
20	87.672989	5.240824	1697.719399	  0.000005	0	8.873333e-01
21	91.504684	5.137814	1670.227746	  0.000006	0	8.873333e-01
22	95.270933	5.034803	1640.212122	  0.000005	0	8.873333e-01
23	98.967130	4.931793	1608.763406	 -0.000007	0	8.873333e-01
24	102.589824	4.828783	1575.748150	 -0.000009	0	8.873333e-01
25	106.136591	4.725772	1542.236339	  0.000003	0	8.873333e-01
26	109.607480	4.622762	1509.275856	  0.000011	0	8.873333e-01
27	113.004359	4.519752	1477.405672	  0.000023	0	8.873333e-01
28	116.329629	4.416742	1446.561435	  0.000036	0	8.873333e-01
29	119.585289	4.313731	1416.451468	  0.000048	0	8.873333e-01
30	122.772491	4.210721	1386.605001	  0.000052	0	8.873333e-01
31	125.891907	4.107711	1357.133792	  0.000035	0	8.873333e-01
32	128.948006	4.004700	1331.156524	 -0.000011	0	8.873333e-01
