Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1961.911732	 -0.000858	0	1.226646e-04
1	6.479575	7.198020	1957.156281	  0.000408	0	8.873333e-01
2	12.920776	7.095009	1938.680930	  0.000476	0	8.873333e-01
3	19.294896	6.991999	1916.580616	  0.000209	0	8.873333e-01
4	25.590698	6.888989	1891.397550	  0.000092	0	8.873333e-01
5	31.798893	6.785978	1863.730203	  0.000061	0	8.873333e-01
6	37.914695	6.682968	1835.695496	  0.000046	0	8.873333e-01
7	43.939231	6.579958	1808.721447	  0.000036	0	8.873333e-01
8	49.877213	6.476948	1783.523791	  0.000035	0	8.873333e-01
9	55.734890	6.373937	1760.320270	  0.000044	0	8.873333e-01
10	61.519300	6.270927	1739.350036	  0.000059	0	8.873333e-01
11	67.237371	6.167917	1720.298557	  0.000075	0	8.873333e-01
12	72.894919	6.064906	1702.828923	  0.000090	0	8.873333e-01
13	78.496204	5.961896	1686.325316	  0.000105	0	8.873333e-01
14	84.043074	5.858886	1669.969851	  0.000131	0	8.873333e-01
15	89.534839	5.755875	1653.061071	  0.000199	0	8.873333e-01
16	94.968889	5.652865	1635.147817	  0.000318	0	8.873333e-01
17	100.341242	5.549855	1615.878803	  0.000381	0	8.873333e-01
18	105.647023	5.446845	1595.072223	  0.000359	0	8.873333e-01
19	110.880544	5.343834	1572.415921	  0.000315	0	8.873333e-01
20	116.034719	5.240824	1547.402090	  0.000253	0	8.873333e-01
21	121.100871	5.137814	1519.570368	  0.000188	0	8.873333e-01
22	126.070410	5.034803	1489.445420	  0.000136	0	8.873333e-01
23	130.938535	4.931793	1458.754387	  0.000109	0	8.873333e-01
24	135.702391	4.828783	1426.923741	  0.000108	0	8.873333e-01
25	140.359892	4.725772	1394.957349	  0.000124	0	8.873333e-01
26	144.911792	4.622762	1363.555769	  0.000135	0	8.873333e-01
27	149.361023	4.519752	1333.307430	  0.000154	0	8.873333e-01
28	153.712241	4.416742	1304.654363	  0.000169	0	8.873333e-01
29	157.970902	4.313731	1277.636386	  0.000169	0	8.873333e-01
30	162.141855	4.210721	1251.855917	  0.000212	0	8.873333e-01
31	166.229094	4.107711	1227.196644	  0.000240	0	8.873333e-01
32	170.238500	4.004700	1204.924275	  0.000169	0	8.873333e-01
33	174.177876	3.901690	1184.946104	  0.000044	0	8.873333e-01
34	178.050399	3.798680	1164.567307	 -0.000048	0	8.873333e-01
35	181.855807	3.695669	1144.401160	 -0.000005	0	8.873333e-01
36	185.595281	3.592659	1124.723202	  0.000158	0	8.873333e-01
37	189.271106	3.489649	1105.922364	  0.000257	0	8.873333e-01
38	192.886515	3.386639	1088.182953	 -0.002380	0	8.873333e-01
39	196.444789	3.283628	1071.348413	 -0.002697	0	8.873333e-01
40	199.949142	3.180618	1055.540040	  0.001781	0	8.873333e-01
41	203.403891	3.077608	1041.318207	  0.003638	0	8.873333e-01
42	206.814861	2.974597	1029.021199	  0.003186	0	8.873333e-01
43	210.184030	2.871587	1015.998765	  0.002497	0	8.873333e-01
44	213.508420	2.768577	1001.892043	  0.001931	0	8.873333e-01
45	216.785092	2.665566	987.084667	  0.001727	0	8.873333e-01
46	220.011664	2.562556	971.530172	  0.001750	0	8.873333e-01
47	223.186217	2.459546	955.552071	  0.001122	0	8.873333e-01
48	226.307893	2.356536	939.473656	 -0.014923	0	8.873333e-01
49	229.377209	2.253525	923.806005	  0.010149	0	8.873333e-01
50	232.397126	2.150515	909.511460	  0.020278	0	8.873333e-01
51	235.374680	2.047505	898.110949	  0.008642	0	8.873333e-01
52	238.317421	1.944494	888.392819	  0.004096	0	8.873333e-01
53	241.225191	1.841484	876.895849	  0.002986	0	8.873333e-01
54	244.094785	1.738474	865.231771	  0.001812	0	8.873333e-01
55	246.925937	1.635463	853.567338	 -0.001939	0	8.873333e-01
56	249.718937	1.532453	842.083080	 -0.001694	0	8.873333e-01
57	252.474816	1.429443	831.043879	 -0.011581	0	8.873333e-01
58	255.195691	1.326433	820.832894	 -0.014077	0	8.873333e-01
59	257.884942	1.223422	811.852886	  0.027791	0	8.873333e-01
60	260.547006	1.120412	804.334307	  0.017625	0	8.873333e-01
61	263.185757	1.017402	797.705305	  0.005411	0	8.873333e-01
62	265.801594	0.914391	790.424521	  0.003746	0	8.873333e-01
63	268.391980	0.811381	782.255016	  0.010218	0	8.873333e-01
64	270.955133	0.708371	773.898843	  0.007767	0	8.873333e-01
65	273.490449	0.605360	765.354594	 -0.002307	0	8.873333e-01
66	275.997182	0.502350	756.549904	 -0.013475	0	8.873333e-01
67	278.474401	0.399340	747.435998	 -0.056933	0	8.873333e-01
68	280.921135	0.296330	738.041702	  0.055627	0	8.873333e-01
69	283.336581	0.193319	728.449842	  0.056021	0	8.873333e-01
70	285.720255	0.090309	718.752479	 -0.012848	0	8.873333e-01
71	288.071904	-0.012701	709.004458	  0.000669	0	8.873333e-01
72	290.391438	-0.115712	699.262015	  0.030032	0	8.873333e-01
73	292.679018	-0.218722	689.604758	  0.034923	0	8.873333e-01
74	294.935014	-0.321732	680.084350	  0.021554	0	8.873333e-01
75	297.159903	-0.424743	670.718309	  0.007300	0	8.873333e-01
76	299.354194	-0.527753	661.510911	 -0.007799	0	8.873333e-01
77	301.518391	-0.630763	652.447300	 -0.068440	0	8.873333e-01
78	303.652949	-0.733773	643.517258	  0.036033	0	8.873333e-01
79	305.758338	-0.836784	634.735925	 -0.070227	0	8.873333e-01
80	307.835133	-0.939794	626.161932	 -0.072065	0	8.873333e-01
81	309.884211	-1.042804	617.903423	 -0.035519	0	8.873333e-01
82	311.906841	-1.145815	610.106411	 -0.015757	0	8.873333e-01
83	313.904781	-1.248825	602.914156	 -0.011833	0	8.873333e-01
84	315.880411	-1.351835	596.558707	 -0.017865	0	8.873333e-01
85	317.836686	-1.454846	591.165845	 -0.014512	0	8.873333e-01
86	319.776587	-1.557856	586.609540	 -0.013892	0	8.873333e-01
87	321.702747	-1.660866	582.832347	 -0.004919	0	8.873333e-01
