#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.000E+09	1255.5	1.000E+08
8.962E+08	1233.2	1.000E+08
7.197E+08	1188.8	1.000E+08
5.780E+08	1146.4	1.000E+08
4.642E+08	1106.8	1.000E+08
3.728E+08	1069.8	1.000E+08
2.994E+08	1034.8	1.000E+08
2.404E+08	1002.7	1.000E+08
1.931E+08	974.5	1.000E+08
1.551E+08	949.5	1.000E+08
1.245E+08	928.1	1.000E+08
1.000E+08	910.6	1.000E+08
8.031E+07	896.3	1.000E+08
6.449E+07	884.8	1.000E+08
5.179E+07	875.6	1.000E+08
4.160E+07	868.5	1.000E+08
3.340E+07	862.6	1.000E+08
2.683E+07	857.6	1.000E+08
2.154E+07	853.1	1.000E+08
1.730E+07	848.6	1.000E+08
1.390E+07	843.4	1.000E+08
1.116E+07	836.8	1.000E+08
8.962E+06	827.8	1.000E+08
7.197E+06	815.1	1.000E+08
5.780E+06	797.8	1.000E+08
4.642E+06	775.4	1.000E+08
3.728E+06	747.1	1.000E+08
2.994E+06	713.4	1.000E+08
2.404E+06	675.4	1.000E+08
1.931E+06	634.6	1.000E+08
1.551E+06	592.9	1.000E+08
1.245E+06	550.6	1.000E+08
1.000E+06	508.6	1.000E+08
8.031E+05	466.9	1.000E+08
6.449E+05	424.0	1.000E+08
5.179E+05	381.4	1.000E+08
4.160E+05	341.2	1.000E+08
3.340E+05	305.7	1.000E+08
2.683E+05	276.3	1.000E+08
2.154E+05	252.4	1.000E+08
1.730E+05	233.4	1.000E+08
1.390E+05	218.2	1.000E+08
1.116E+05	206.9	1.000E+08
8.962E+04	199.0	1.000E+08
7.197E+04	192.4	1.000E+08
5.780E+04	186.4	1.000E+08
4.642E+04	181.1	1.000E+08
3.728E+04	175.9	1.000E+08
2.994E+04	170.5	1.000E+08
2.404E+04	165.3	1.000E+08
1.931E+04	160.6	1.000E+08
1.551E+04	156.1	1.000E+08
1.245E+04	152.0	1.000E+08
1.000E+04	148.8	1.000E+08
8.031E+03	145.8	1.000E+08
6.449E+03	143.2	1.000E+08
5.179E+03	141.2	1.000E+08
4.160E+03	139.8	1.000E+08
3.340E+03	138.4	1.000E+08
2.683E+03	137.6	1.000E+08
2.154E+03	137.6	1.000E+08
1.730E+03	137.4	1.000E+08
1.390E+03	137.5	1.000E+08
1.116E+03	138.3	1.000E+08
8.962E+02	139.4	1.000E+08
7.197E+02	140.3	1.000E+08
5.780E+02	141.8	1.000E+08
4.642E+02	144.1	1.000E+08
3.728E+02	146.0	1.000E+08
2.994E+02	148.6	1.000E+08
2.404E+02	152.3	1.000E+08
1.931E+02	156.1	1.000E+08
1.551E+02	159.6	1.000E+08
1.245E+02	163.1	1.000E+08
1.000E+02	166.4	1.000E+08
8.031E+01	168.9	1.000E+08
6.449E+01	170.9	1.000E+08
5.179E+01	172.6	1.000E+08
4.160E+01	173.9	1.000E+08
3.340E+01	174.8	1.000E+08
2.683E+01	175.4	1.000E+08
2.154E+01	175.7	1.000E+08
1.730E+01	175.9	1.000E+08
1.389E+01	175.9	1.000E+08
1.116E+01	175.8	1.000E+08
8.962E+00	175.7	1.000E+08
7.197E+00	175.5	1.000E+08
5.780E+00	175.3	1.000E+08
4.642E+00	175.0	1.000E+08
3.728E+00	174.7	1.000E+08
2.994E+00	174.3	1.000E+08
2.404E+00	173.8	1.000E+08
1.931E+00	173.2	1.000E+08
1.551E+00	172.5	1.000E+08
1.245E+00	171.7	1.000E+08
1.000E+00	170.7	1.000E+08
8.031E-01	169.4	1.000E+08
6.449E-01	167.9	1.000E+08
5.179E-01	166.2	1.000E+08
4.160E-01	164.3	1.000E+08
3.340E-01	162.2	1.000E+08
2.683E-01	160.0	1.000E+08
2.154E-01	157.9	1.000E+08
1.730E-01	155.9	1.000E+08
1.389E-01	154.0	1.000E+08
1.116E-01	152.3	1.000E+08
8.962E-02	150.8	1.000E+08
7.197E-02	149.4	1.000E+08
5.780E-02	148.3	1.000E+08
4.642E-02	147.4	1.000E+08
3.728E-02	146.6	1.000E+08
2.994E-02	145.9	1.000E+08
2.404E-02	145.4	1.000E+08
1.931E-02	144.9	1.000E+08
1.551E-02	144.6	1.000E+08
1.245E-02	144.3	1.000E+08
1.000E-02	144.0	1.000E+08
