#grid point     	iterations      	chem_iter       	cond_iter       	converged       	elem_conserved  	p (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	C    	Ca   	Fe   	H    	He   	K    	Mg   	N    	Na   	O    	P    	S    	Si   	Ti   	V    
0               	5               	5               	0               	ok              	ok              	1.0000000000e-06	1.0000000000e+02	1.3451785637e+14	7.2429705160e+13	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1               	5               	5               	0               	ok              	ok              	2.1540000000e-06	1.0000000000e+02	2.8975146261e+14	1.5601358492e+14	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2               	5               	5               	0               	ok              	ok              	4.6420000000e-06	1.0000000000e+02	6.2443188925e+14	3.3621869135e+14	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3               	5               	5               	0               	ok              	ok              	1.0000000000e-05	1.0000000000e+02	1.3451785637e+15	7.2429705160e+14	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4               	5               	5               	0               	ok              	ok              	2.1540000000e-05	1.0000000000e+02	2.8975146261e+15	1.5601358492e+15	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5               	5               	5               	0               	ok              	ok              	4.6420000000e-05	1.0000000000e+02	6.2443188925e+15	3.3621869135e+15	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6               	5               	5               	0               	ok              	ok              	1.0000000000e-04	1.0000000000e+02	1.3451785637e+16	7.2429705160e+15	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7               	5               	5               	0               	ok              	ok              	2.1540000000e-04	1.0000000000e+02	2.8975146261e+16	1.5601358492e+16	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8               	5               	5               	0               	ok              	ok              	4.6420000000e-04	1.0000000000e+02	6.2443188925e+16	3.3621869135e+16	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9               	5               	5               	0               	ok              	ok              	1.0000000000e-03	1.0000000000e+02	1.3451785637e+17	7.2429705160e+16	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10              	5               	5               	0               	ok              	ok              	2.1540000000e-03	1.0000000000e+02	2.8975146261e+17	1.5601358492e+17	2.3341733520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
