#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.000E+07	3398.4	1.000E+08
8.962E+06	3380.2	1.000E+08
7.197E+06	3349.7	1.000E+08
5.780E+06	3325.9	1.000E+08
4.642E+06	3303.4	1.000E+08
3.728E+06	3281.5	1.000E+08
2.994E+06	3259.8	1.000E+08
2.404E+06	3238.1	1.000E+08
1.931E+06	3216.4	1.000E+08
1.551E+06	3194.7	1.000E+08
1.245E+06	3172.9	1.000E+08
1.000E+06	3151.0	1.000E+08
8.031E+05	3128.8	1.000E+08
6.449E+05	3106.0	1.000E+08
5.179E+05	3082.8	1.000E+08
4.160E+05	3059.1	1.000E+08
3.340E+05	3034.9	1.000E+08
2.683E+05	3010.4	1.000E+08
2.154E+05	2985.7	1.000E+08
1.730E+05	2960.8	1.000E+08
1.390E+05	2935.7	1.000E+08
1.116E+05	2910.2	1.000E+08
8.962E+04	2883.9	1.000E+08
7.197E+04	2856.9	1.000E+08
5.780E+04	2828.6	1.000E+08
4.642E+04	2799.0	1.000E+08
3.728E+04	2768.0	1.000E+08
2.994E+04	2735.8	1.000E+08
2.404E+04	2702.8	1.000E+08
1.931E+04	2669.1	1.000E+08
1.551E+04	2634.9	1.000E+08
1.245E+04	2600.5	1.000E+08
1.000E+04	2565.7	1.000E+08
8.031E+03	2530.2	1.000E+08
6.449E+03	2494.0	1.000E+08
5.179E+03	2456.9	1.000E+08
4.160E+03	2419.2	1.000E+08
3.340E+03	2381.4	1.000E+08
2.683E+03	2344.2	1.000E+08
2.154E+03	2307.9	1.000E+08
1.730E+03	2272.9	1.000E+08
1.390E+03	2239.3	1.000E+08
1.116E+03	2207.2	1.000E+08
8.962E+02	2176.8	1.000E+08
7.197E+02	2147.8	1.000E+08
5.780E+02	2120.4	1.000E+08
4.642E+02	2094.3	1.000E+08
3.728E+02	2069.3	1.000E+08
2.994E+02	2045.4	1.000E+08
2.404E+02	2022.4	1.000E+08
1.931E+02	2000.1	1.000E+08
1.551E+02	1978.4	1.000E+08
1.245E+02	1957.0	1.000E+08
1.000E+02	1935.8	1.000E+08
8.031E+01	1914.7	1.000E+08
6.449E+01	1893.6	1.000E+08
5.179E+01	1872.4	1.000E+08
4.160E+01	1851.3	1.000E+08
3.340E+01	1830.3	1.000E+08
2.683E+01	1809.6	1.000E+08
2.154E+01	1789.2	1.000E+08
1.730E+01	1769.2	1.000E+08
1.389E+01	1749.6	1.000E+08
1.116E+01	1730.3	1.000E+08
8.962E+00	1711.4	1.000E+08
7.197E+00	1692.8	1.000E+08
5.780E+00	1674.2	1.000E+08
4.642E+00	1655.5	1.000E+08
3.728E+00	1636.4	1.000E+08
2.994E+00	1616.7	1.000E+08
2.404E+00	1596.5	1.000E+08
1.931E+00	1575.7	1.000E+08
1.551E+00	1554.6	1.000E+08
1.245E+00	1533.5	1.000E+08
1.000E+00	1513.0	1.000E+08
8.031E-01	1493.4	1.000E+08
6.449E-01	1475.0	1.000E+08
5.179E-01	1458.1	1.000E+08
4.160E-01	1442.8	1.000E+08
3.340E-01	1428.9	1.000E+08
2.683E-01	1416.6	1.000E+08
2.154E-01	1405.7	1.000E+08
1.730E-01	1396.0	1.000E+08
1.389E-01	1387.6	1.000E+08
1.116E-01	1380.2	1.000E+08
8.962E-02	1373.7	1.000E+08
7.197E-02	1368.0	1.000E+08
5.780E-02	1363.1	1.000E+08
4.642E-02	1358.8	1.000E+08
3.728E-02	1355.0	1.000E+08
2.994E-02	1351.6	1.000E+08
2.404E-02	1348.1	1.000E+08
1.931E-02	1344.2	1.000E+08
1.551E-02	1339.3	1.000E+08
1.245E-02	1332.9	1.000E+08
1.000E-02	1324.6	1.000E+08
