#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.000E+09	1163.8	1.000E+08
8.962E+08	1151.0	1.000E+08
7.197E+08	1125.4	1.000E+08
5.780E+08	1098.7	1.000E+08
4.642E+08	1071.2	1.000E+08
3.728E+08	1043.2	1.000E+08
2.994E+08	1014.9	1.000E+08
2.404E+08	987.2	1.000E+08
1.931E+08	961.4	1.000E+08
1.551E+08	937.1	1.000E+08
1.245E+08	914.6	1.000E+08
1.000E+08	894.1	1.000E+08
8.031E+07	874.5	1.000E+08
6.449E+07	854.7	1.000E+08
5.179E+07	834.1	1.000E+08
4.160E+07	812.2	1.000E+08
3.340E+07	788.0	1.000E+08
2.683E+07	760.5	1.000E+08
2.154E+07	730.1	1.000E+08
1.730E+07	696.8	1.000E+08
1.390E+07	660.7	1.000E+08
1.116E+07	622.3	1.000E+08
8.962E+06	584.5	1.000E+08
7.197E+06	549.0	1.000E+08
5.780E+06	515.6	1.000E+08
4.642E+06	484.3	1.000E+08
3.728E+06	454.9	1.000E+08
2.994E+06	427.3	1.000E+08
2.404E+06	401.3	1.000E+08
1.931E+06	376.9	1.000E+08
1.551E+06	354.1	1.000E+08
1.245E+06	332.6	1.000E+08
1.000E+06	312.4	1.000E+08
8.031E+05	293.4	1.000E+08
6.449E+05	275.6	1.000E+08
5.179E+05	258.8	1.000E+08
4.160E+05	243.1	1.000E+08
3.340E+05	228.3	1.000E+08
2.683E+05	214.5	1.000E+08
2.154E+05	201.5	1.000E+08
1.730E+05	189.2	1.000E+08
1.390E+05	182.0	1.000E+08
1.116E+05	178.5	1.000E+08
8.962E+04	176.3	1.000E+08
7.197E+04	174.6	1.000E+08
5.780E+04	173.6	1.000E+08
4.642E+04	173.3	1.000E+08
3.728E+04	172.9	1.000E+08
2.994E+04	172.7	1.000E+08
2.404E+04	172.8	1.000E+08
1.931E+04	173.0	1.000E+08
1.551E+04	173.1	1.000E+08
1.245E+04	173.6	1.000E+08
1.000E+04	174.7	1.000E+08
8.031E+03	175.4	1.000E+08
6.449E+03	176.3	1.000E+08
5.179E+03	177.7	1.000E+08
4.160E+03	179.1	1.000E+08
3.340E+03	180.2	1.000E+08
2.683E+03	182.0	1.000E+08
2.154E+03	184.5	1.000E+08
1.730E+03	186.4	1.000E+08
1.390E+03	188.4	1.000E+08
1.116E+03	190.9	1.000E+08
8.962E+02	193.4	1.000E+08
7.197E+02	195.5	1.000E+08
5.780E+02	197.8	1.000E+08
4.642E+02	200.3	1.000E+08
3.728E+02	201.6	1.000E+08
2.994E+02	202.8	1.000E+08
2.404E+02	204.3	1.000E+08
1.931E+02	205.7	1.000E+08
1.551E+02	206.9	1.000E+08
1.245E+02	208.3	1.000E+08
1.000E+02	209.7	1.000E+08
8.031E+01	210.7	1.000E+08
6.449E+01	211.6	1.000E+08
5.179E+01	212.2	1.000E+08
4.160E+01	212.5	1.000E+08
3.340E+01	212.5	1.000E+08
2.683E+01	212.2	1.000E+08
2.154E+01	211.6	1.000E+08
1.730E+01	210.9	1.000E+08
1.389E+01	209.9	1.000E+08
1.116E+01	208.7	1.000E+08
8.962E+00	207.4	1.000E+08
7.197E+00	206.0	1.000E+08
5.780E+00	204.4	1.000E+08
4.642E+00	202.7	1.000E+08
3.728E+00	201.0	1.000E+08
2.994E+00	199.3	1.000E+08
2.404E+00	197.7	1.000E+08
1.931E+00	196.1	1.000E+08
1.551E+00	194.7	1.000E+08
1.245E+00	193.3	1.000E+08
1.000E+00	191.9	1.000E+08
8.031E-01	190.4	1.000E+08
6.449E-01	188.5	1.000E+08
5.179E-01	186.3	1.000E+08
4.160E-01	183.6	1.000E+08
3.340E-01	180.5	1.000E+08
2.683E-01	177.1	1.000E+08
2.154E-01	173.5	1.000E+08
1.730E-01	169.8	1.000E+08
1.389E-01	166.3	1.000E+08
1.116E-01	163.1	1.000E+08
8.962E-02	160.2	1.000E+08
7.197E-02	157.6	1.000E+08
5.780E-02	155.4	1.000E+08
4.642E-02	153.6	1.000E+08
3.728E-02	152.0	1.000E+08
2.994E-02	150.7	1.000E+08
2.404E-02	149.7	1.000E+08
1.931E-02	148.8	1.000E+08
1.551E-02	148.1	1.000E+08
1.245E-02	147.6	1.000E+08
1.000E-02	147.1	1.000E+08
