#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.000E+07	3128.4	1.000E+08
8.962E+06	3109.5	1.000E+08
7.197E+06	3076.6	1.000E+08
5.780E+06	3050.4	1.000E+08
4.642E+06	3025.6	1.000E+08
3.728E+06	3001.2	1.000E+08
2.994E+06	2977.0	1.000E+08
2.404E+06	2952.7	1.000E+08
1.931E+06	2928.2	1.000E+08
1.551E+06	2903.6	1.000E+08
1.245E+06	2878.6	1.000E+08
1.000E+06	2853.3	1.000E+08
8.031E+05	2827.6	1.000E+08
6.449E+05	2801.2	1.000E+08
5.179E+05	2774.1	1.000E+08
4.160E+05	2746.6	1.000E+08
3.340E+05	2718.7	1.000E+08
2.683E+05	2690.6	1.000E+08
2.154E+05	2662.2	1.000E+08
1.730E+05	2633.6	1.000E+08
1.390E+05	2604.4	1.000E+08
1.116E+05	2574.4	1.000E+08
8.962E+04	2543.1	1.000E+08
7.197E+04	2510.2	1.000E+08
5.780E+04	2475.7	1.000E+08
4.642E+04	2439.7	1.000E+08
3.728E+04	2402.3	1.000E+08
2.994E+04	2364.0	1.000E+08
2.404E+04	2325.0	1.000E+08
1.931E+04	2285.5	1.000E+08
1.551E+04	2245.4	1.000E+08
1.245E+04	2204.7	1.000E+08
1.000E+04	2163.7	1.000E+08
8.031E+03	2122.8	1.000E+08
6.449E+03	2082.5	1.000E+08
5.179E+03	2042.7	1.000E+08
4.160E+03	2004.1	1.000E+08
3.340E+03	1967.0	1.000E+08
2.683E+03	1931.8	1.000E+08
2.154E+03	1898.7	1.000E+08
1.730E+03	1867.1	1.000E+08
1.390E+03	1837.2	1.000E+08
1.116E+03	1809.0	1.000E+08
8.962E+02	1782.4	1.000E+08
7.197E+02	1757.3	1.000E+08
5.780E+02	1733.5	1.000E+08
4.642E+02	1710.9	1.000E+08
3.728E+02	1689.1	1.000E+08
2.994E+02	1667.9	1.000E+08
2.404E+02	1647.3	1.000E+08
1.931E+02	1626.9	1.000E+08
1.551E+02	1606.8	1.000E+08
1.245E+02	1586.6	1.000E+08
1.000E+02	1566.3	1.000E+08
8.031E+01	1545.9	1.000E+08
6.449E+01	1525.2	1.000E+08
5.179E+01	1504.4	1.000E+08
4.160E+01	1483.5	1.000E+08
3.340E+01	1462.7	1.000E+08
2.683E+01	1442.1	1.000E+08
2.154E+01	1421.8	1.000E+08
1.730E+01	1401.8	1.000E+08
1.389E+01	1382.2	1.000E+08
1.116E+01	1362.9	1.000E+08
8.962E+00	1343.9	1.000E+08
7.197E+00	1325.1	1.000E+08
5.780E+00	1306.5	1.000E+08
4.642E+00	1287.8	1.000E+08
3.728E+00	1269.0	1.000E+08
2.994E+00	1250.1	1.000E+08
2.404E+00	1231.2	1.000E+08
1.931E+00	1212.3	1.000E+08
1.551E+00	1193.8	1.000E+08
1.245E+00	1176.0	1.000E+08
1.000E+00	1159.2	1.000E+08
8.031E-01	1143.3	1.000E+08
6.449E-01	1128.6	1.000E+08
5.179E-01	1115.0	1.000E+08
4.160E-01	1102.4	1.000E+08
3.340E-01	1090.9	1.000E+08
2.683E-01	1080.3	1.000E+08
2.154E-01	1070.6	1.000E+08
1.730E-01	1061.7	1.000E+08
1.389E-01	1053.7	1.000E+08
1.116E-01	1046.4	1.000E+08
8.962E-02	1040.0	1.000E+08
7.197E-02	1034.4	1.000E+08
5.780E-02	1029.5	1.000E+08
4.642E-02	1025.2	1.000E+08
3.728E-02	1021.4	1.000E+08
2.994E-02	1017.8	1.000E+08
2.404E-02	1014.1	1.000E+08
1.931E-02	1010.1	1.000E+08
1.551E-02	1005.4	1.000E+08
1.245E-02	1000.1	1.000E+08
1.000E-02	994.3	1.000E+08
